               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.030076,            0.010727,           0.0012291,             0.99078,                   1,               0.995,             0.77069,            0.021561,           0.0066472,          0.00072031,            0.005281,            0.005281,            0.005281
                 145,             0.03079,            0.011513,           0.0010726,             0.99078,                   1,               0.995,             0.77069,            0.021561,           0.0066472,          0.00072031,            0.005248,            0.005248,            0.005248
                 146,            0.026034,            0.010645,          0.00090277,             0.99062,                   1,               0.995,             0.75597,            0.022875,           0.0067885,          0.00073445,            0.005215,            0.005215,            0.005215
                 147,            0.035179,            0.015339,           0.0010506,             0.99082,                   1,               0.995,             0.75587,             0.02173,           0.0068205,          0.00067664,            0.005182,            0.005182,            0.005182
                 148,            0.026907,            0.011748,           0.0008126,             0.99082,                   1,               0.995,             0.75587,             0.02173,           0.0068205,          0.00067664,            0.005149,            0.005149,            0.005149
                 149,            0.035846,            0.013149,           0.0010662,             0.99074,                   1,               0.995,             0.65496,            0.024019,           0.0071943,          0.00067289,            0.005116,            0.005116,            0.005116
                 150,            0.032207,            0.012725,           0.0010017,             0.99143,                   1,               0.995,             0.74929,            0.020817,           0.0068375,          0.00067417,            0.005083,            0.005083,            0.005083
                 151,            0.027695,            0.011204,          0.00092875,             0.99049,                   1,               0.995,             0.57482,            0.030031,           0.0074628,          0.00068653,             0.00505,             0.00505,             0.00505
                 152,            0.032429,            0.012055,            0.000935,             0.99049,                   1,               0.995,             0.57482,            0.030031,           0.0074628,          0.00068653,            0.005017,            0.005017,            0.005017
                 153,            0.035032,            0.011971,          0.00092623,             0.99247,                   1,               0.995,              0.6087,            0.025011,           0.0073396,          0.00071386,            0.004984,            0.004984,            0.004984
                 154,            0.030235,            0.012285,          0.00088334,             0.99287,                   1,               0.995,             0.76352,            0.023033,           0.0068787,          0.00070586,            0.004951,            0.004951,            0.004951
                 155,            0.033642,            0.013673,           0.0010557,             0.99287,                   1,               0.995,             0.76352,            0.023033,           0.0068787,          0.00070586,            0.004918,            0.004918,            0.004918
                 156,            0.031523,            0.012686,           0.0011769,             0.98956,                   1,               0.995,             0.74011,            0.022691,           0.0067729,          0.00072524,            0.004885,            0.004885,            0.004885
                 157,            0.028315,            0.011428,          0.00099173,              0.9924,                   1,               0.995,             0.80071,            0.022631,            0.006866,          0.00076905,            0.004852,            0.004852,            0.004852
                 158,            0.028255,            0.011932,           0.0011565,              0.9924,                   1,               0.995,             0.80071,            0.022631,            0.006866,          0.00076905,            0.004819,            0.004819,            0.004819
